Time	Comment	Temperature [C]	Humidity [%]	Sequence #	Data Points	0	15.63	31.25	46.88	62.5	78.13	93.75	109.38	125	140.63	156.25	171.88	187.5	203.13	218.75	234.38	250	265.63	281.25	296.88	312.5	328.13	343.75	359.38	375	390.63	406.25	421.88	437.5	453.13	468.75	484.38	500	515.63	531.25	546.88	562.5	578.13	593.75	609.38	625	640.63	656.25	671.88	687.5	703.13	718.75	734.38	750	765.63	781.25	796.88	812.5	828.13	843.75	859.38	875	890.63	906.25	921.88	937.5	953.13	968.75	984.38	1000	1015.63	1031.25	1046.88	1062.5	1078.13	1093.75	1109.38	1125	1140.63	1156.25	1171.88	1187.5	1203.13	1218.75	1234.38	1250	1265.63	1281.25	1296.88	1312.5	1328.13	1343.75	1359.38	1375	1390.63	1406.25	1421.88	1437.5	1453.13	1468.75	1484.38	1500	1515.63	1531.25	1546.88	1562.5	1578.13	1593.75	1609.38	1625	1640.63	1656.25	1671.88	1687.5	1703.13	1718.75	1734.38	1750	1765.63	1781.25	1796.88	1812.5	1828.13	1843.75	1859.38	1875	1890.63	1906.25	1921.88	1937.5	1953.13	1968.75	1984.38	2000	2015.63	2031.25	2046.88	2062.5	2078.13	2093.75	2109.38	2125	2140.63	2156.25	2171.88	2187.5	2203.13	2218.75	2234.38	2250	2265.63	2281.25	2296.88	2312.5	2328.13	2343.75	2359.38	2375	2390.63	2406.25	2421.88	2437.5	2453.13	2468.75	2484.38	2500	2515.63	2531.25	2546.88	2562.5	2578.13	2593.75	2609.38	2625	2640.63	2656.25	2671.88	2687.5	2703.13	2718.75	2734.38	2750	2765.63	2781.25	2796.88	2812.5	2828.13	2843.75	2859.38	2875	2890.63	2906.25	2921.88	2937.5	2953.13	2968.75	2984.38	3000	3015.63	3031.25	3046.88	3062.5	3078.13	3093.75	3109.38	3125	3140.63	3156.25	3171.88	3187.5	3203.13	3218.75	3234.38	3250	3265.63	3281.25	3296.88	3312.5	3328.13	3343.75	3359.38	3375	3390.63	3406.25	3421.88	3437.5	3453.13	3468.75	3484.38	3500	3515.63	3531.25	3546.88	3562.5	3578.13	3593.75	3609.38	3625	3640.63	3656.25	3671.88	3687.5	3703.13	3718.75	3734.38	3750	3765.63	3781.25	3796.88	3812.5	3828.13	3843.75	3859.38	3875	3890.63	3906.25	3921.88	3937.5	3953.13	3968.75	3984.38	4000	4015.63	4031.25	4046.88	4062.5	4078.13	4093.75	4109.38	4125	4140.63	4156.25	4171.88	4187.5	4203.13	4218.75	4234.38	4250	4265.63	4281.25	4296.88	4312.5	4328.13	4343.75	4359.38	4375	4390.63	4406.25	4421.88	4437.5	4453.13	4468.75	4484.38	4500	4515.63	4531.25	4546.88	4562.5	4578.13	4593.75	4609.38	4625	4640.63	4656.25	4671.88	4687.5	4703.13	4718.75	4734.38	4750	4765.63	4781.25	4796.88	4812.5	4828.13	4843.75	4859.38	4875	4890.63	4906.25	4921.88	4937.5	4953.13	4968.75	4984.38	5000	5015.63	5031.25	5046.88	5062.5	5078.13	5093.75	5109.38	5125	5140.63	5156.25	5171.88	5187.5	5203.13	5218.75	5234.38	5250	5265.63	5281.25	5296.88	5312.5	5328.13	5343.75	5359.38	5375	5390.63	5406.25	5421.88	5437.5	5453.13	5468.75	5484.38	5500	5515.63	5531.25	5546.88	5562.5	5578.13	5593.75	5609.38	5625	5640.63	5656.25	5671.88	5687.5	5703.13	5718.75	5734.38	5750	5765.63	5781.25	5796.88	5812.5	5828.13	5843.75	5859.38	5875	5890.63	5906.25	5921.88	5937.5	5953.13	5968.75	5984.38	6000	6015.63	6031.25	6046.88	6062.5	6078.13	6093.75	6109.38	6125	6140.63	6156.25	6171.88	6187.5	6203.13	6218.75	6234.38	6250	6265.63	6281.25	6296.88	6312.5	6328.13	6343.75	6359.38	6375	6390.63
19:04:48		-1.6	34.1	24	410	17	35	44	46	42	43	47	50	53	55	55	55	56	56	56	56	57	57	57	59	59	57	55	57	58	57	55	55	55	54	54	54	54	55	54	51	50	49	49	49	49	47	45	45	43	42	42	45	44	43	42	41	41	41	40	39	40	41	39	39	41	40	41	40	40	41	41	40	40	40	40	40	40	39	40	40	40	38	37	37	38	38	38	38	39	39	39	39	40	39	37	37	36	36	35	37	38	37	35	35	36	37	36	35	35	35	35	36	37	37	38	39	38	38	38	36	39	39	39	40	41	41	41	42	42	44	45	44	44	44	44	45	46	47	46	47	48	48	48	48	49	49	46	46	43	42	39	39	38	37	36	35	35	36	38	36	34	35	35	33	34	33	33	34	35	35	36	37	39	37	36	36	34	32	32	33	34	33	32	30	32	32	31	31	33	31	30	29	29	30	30	30	30	30	29	31	32	31	33	34	36	34	32	30	30	29	28	28	28	28	29	28	28	27	29	28	30	29	28	28	29	27	28	27	27	27	28	28	27	26	27	28	31	29	29	30	29	28	28	29	29	30	29	29	28	29	29	30	29	28	28	28	30	31	31	32	33	33	33	31	31	30	30	30	29	29	29	29	27	27	28	29	28	28	29	29	27	28	28	28	27	28	27	25	26	28	28	30	29	27	27	28	29	29	29	27	28	27	28	28	27	29	28	28	27	28	28	28	29	30	28	27	28	28	27	29	29	28	28	27	27	27	27	27	26	27	26	27	27	27	26	26	28	28	26	27	27	29	28	28	29	28	26	27	27	27	27	28	27	28	27	27	28	27	26	26	28	28	28	29	28	26	26	29	29	27	24	27	26	26	26	27	27	27	27	28	27	26	26	26	25	26	26	26	25	26	27	26	25	26	26	26	27	25	25	25	26	25	25	27	26	25	26	25	24	25	25	25	24	23
19:04:49		-1.6	34.1	25	410	17	33	42	44	42	42	46	49	51	53	54	54	54	55	56	56	57	58	57	58	57	58	57	58	58	57	54	56	53	54	54	55	55	54	54	52	51	49	49	51	49	48	47	47	44	42	43	43	43	44	42	41	42	41	42	40	38	38	38	40	40	40	40	40	41	40	40	40	41	42	41	40	41	39	38	37	38	38	38	38	37	38	39	39	38	38	39	40	40	38	37	39	39	37	36	37	37	37	36	35	36	35	34	34	35	36	35	35	36	36	35	36	37	37	39	38	38	37	37	38	39	39	42	44	43	42	43	45	46	44	46	47	45	46	47	47	48	50	49	50	50	48	47	46	45	42	40	39	37	37	35	35	36	37	37	35	34	33	33	33	34	33	33	33	34	36	36	37	39	36	35	35	33	33	33	33	33	32	32	32	33	32	31	31	31	32	31	29	30	30	30	30	31	31	31	30	31	32	31	33	36	34	32	31	31	30	29	28	28	28	28	26	27	27	29	30	31	28	24	26	26	26	26	27	28	27	26	27	28	27	27	28	31	29	28	28	28	28	27	27	29	29	29	29	29	29	29	29	29	29	29	29	30	31	31	31	31	31	30	30	31	30	30	29	29	28	28	27	27	28	28	28	28	28	29	27	28	28	28	28	26	27	29	28	28	28	27	27	27	27	28	28	28	28	28	27	29	29	30	29	28	27	26	27	27	28	29	29	28	27	27	27	27	28	27	27	28	27	27	28	28	27	26	27	27	27	27	26	27	27	26	27	28	28	27	26	26	28	28	27	27	28	28	28	28	27	27	28	27	26	26	27	26	26	26	27	27	26	26	27	27	27	28	27	27	26	25	25	26	25	25	27	27	28	27	27	24	25	26	25	26	26	26	26	25	25	25	26	26	26	25	26	27	26	26	26	25	25	24	25	25	25	24	24	26	26	26	25	24	23
19:04:50		-1.6	34.1	26	410	18	33	42	44	43	43	45	48	51	52	53	54	56	56	56	57	56	57	56	56	57	57	56	58	58	57	55	56	56	55	54	55	55	56	56	54	51	48	50	51	51	49	47	46	43	43	44	45	44	44	42	42	42	42	41	40	41	40	40	40	40	40	39	41	42	40	40	40	40	42	42	41	40	40	40	40	41	39	39	39	38	37	39	40	39	39	39	39	39	38	36	37	38	37	35	36	36	36	35	34	35	36	35	35	33	35	36	37	38	37	37	38	38	40	39	37	36	37	37	38	40	41	41	41	42	42	43	46	46	45	44	44	47	47	47	48	49	50	50	49	50	50	48	46	45	42	40	40	40	39	37	36	37	38	37	35	35	34	34	33	33	34	32	33	34	34	36	37	37	35	35	35	33	32	34	32	32	31	30	31	31	30	31	30	31	30	28	28	31	30	30	31	32	30	29	31	32	33	34	34	35	32	31	31	30	29	28	28	29	28	27	28	27	27	27	28	28	28	27	27	27	27	26	28	28	27	27	26	27	28	27	28	30	29	28	27	30	29	30	29	30	29	29	28	29	29	29	31	30	29	30	30	30	29	30	31	31	31	31	30	30	31	30	30	29	28	28	28	27	28	26	26	27	27	28	27	27	28	27	28	28	27	27	28	27	27	27	27	27	28	29	29	29	28	28	27	29	28	28	27	28	28	28	28	28	28	29	28	27	28	28	29	28	28	27	26	24	25	26	25	26	27	27	28	27	26	28	27	26	26	27	27	27	27	27	26	27	27	27	27	27	28	28	28	26	26	28	28	28	27	27	28	27	27	25	26	26	26	26	27	26	26	27	26	24	26	27	26	26	26	26	26	26	27	27	26	26	26	26	26	25	25	25	25	25	25	25	25	25	26	26	26	25	26	27	27	27	25	25	25	25	26	25	25	25	24	25	24	24	24
19:04:51		-1.6	34.1	27	410	19	35	45	46	41	41	46	49	51	53	54	55	55	57	55	54	57	58	57	57	59	59	58	57	57	56	55	55	57	56	54	54	55	55	55	52	50	48	49	49	48	47	47	45	44	43	42	41	43	43	42	41	42	42	41	41	40	41	38	39	40	40	39	39	39	38	38	38	41	41	41	42	41	41	41	40	40	38	38	39	39	39	38	38	38	38	38	40	41	40	37	37	38	37	37	37	36	35	35	35	35	35	35	33	33	34	35	37	37	36	36	38	38	40	39	38	37	37	37	39	40	40	41	41	41	42	43	45	44	44	44	45	47	46	45	47	48	48	50	49	48	48	47	45	44	43	40	38	37	37	36	35	35	36	36	35	34	33	32	33	34	33	34	35	35	35	37	38	38	38	37	34	34	34	33	33	33	32	32	31	31	30	30	32	32	30	30	30	29	28	29	30	31	30	31	31	30	31	33	34	35	34	32	30	29	29	29	28	29	28	29	27	27	26	27	28	29	28	27	27	27	28	29	28	28	27	27	27	28	28	27	28	30	29	28	27	27	28	29	30	30	29	28	28	27	28	27	27	27	28	28	28	29	31	32	31	30	31	30	31	30	29	29	29	28	28	29	29	28	28	28	25	28	29	29	28	29	29	27	27	28	26	26	27	27	27	28	28	27	27	28	29	29	28	29	28	28	28	28	29	29	28	28	29	28	27	28	29	27	26	28	29	28	28	28	28	29	27	28	29	28	28	27	27	27	27	27	27	28	27	27	26	26	26	27	27	27	27	27	27	27	27	26	26	28	27	27	27	25	25	26	28	29	28	27	26	26	25	26	26	26	26	27	27	26	26	27	28	27	27	27	28	27	28	27	26	27	26	26	26	26	25	25	25	25	25	26	26	26	25	26	25	26	26	26	25	23	25	25	24	25	24	24	24	25	25	25	25	25	24
19:04:52		-1.6	34.1	28	410	16	35	44	44	41	44	46	48	51	53	55	57	56	55	56	56	57	57	56	56	58	59	57	57	57	56	54	55	55	54	54	55	55	55	54	53	50	48	50	50	48	47	46	45	43	42	41	43	43	43	42	41	42	41	40	39	40	40	39	40	40	40	40	40	41	40	40	41	41	40	41	42	41	40	39	40	39	39	39	39	39	39	37	38	38	38	39	39	41	40	37	37	37	36	37	38	37	36	36	36	35	35	36	34	34	34	36	37	36	38	37	37	39	40	38	38	38	38	38	38	38	40	41	42	42	42	44	45	43	43	44	45	46	46	45	47	49	50	50	49	49	49	47	46	46	44	41	40	39	37	34	37	36	36	37	35	34	34	33	32	34	34	34	34	36	36	36	36	38	37	34	36	35	34	32	32	32	31	31	31	31	30	29	30	32	31	32	30	29	29	30	30	31	30	31	31	32	32	31	34	37	35	33	31	31	30	29	29	28	27	27	28	27	26	28	28	30	29	27	27	27	27	28	27	26	28	28	28	28	28	28	28	30	29	28	28	28	28	28	28	29	28	29	29	29	29	28	28	28	29	29	29	30	30	31	30	31	32	33	32	29	28	29	29	29	28	28	29	28	29	28	28	29	28	28	28	27	27	28	28	27	26	26	26	27	26	26	28	28	29	28	29	30	29	28	28	27	27	28	28	26	26	27	27	27	27	27	27	28	28	26	28	27	28	27	27	28	28	28	27	27	27	28	27	26	27	27	27	27	28	28	25	25	26	26	27	27	27	28	28	27	27	26	25	26	27	27	26	27	28	27	29	27	27	27	27	26	27	28	27	26	27	27	28	27	28	28	26	27	27	26	27	28	27	27	27	26	25	26	26	26	25	25	25	25	25	26	26	26	26	26	26	26	25	26	25	25	25	25	24	26	26	27	26	25	26	24	24	23	24
19:04:53		-1.6	34.1	29	410	18	36	45	44	42	45	48	50	53	57	59	58	58	59	58	58	57	57	58	57	57	57	58	58	58	56	55	56	53	54	55	54	55	56	55	53	50	48	49	50	48	46	45	43	43	43	42	44	42	43	42	41	41	40	39	39	40	41	40	40	40	40	39	39	39	39	39	39	39	39	41	42	42	40	38	39	39	39	39	38	39	38	38	39	40	39	40	40	40	39	38	39	38	38	37	37	37	38	38	36	36	36	36	34	32	34	35	36	37	36	38	38	38	39	38	37	38	38	37	39	41	41	41	41	42	44	45	46	45	45	45	46	46	45	45	47	48	50	50	49	50	49	48	47	45	43	42	40	40	37	37	37	36	37	38	36	36	35	34	33	33	34	34	34	35	36	37	37	39	37	36	36	35	34	33	32	33	32	32	33	31	31	31	32	33	31	30	29	30	31	32	32	33	32	32	32	32	32	32	36	39	36	31	31	30	29	30	29	27	28	27	27	28	28	28	28	30	29	30	28	26	26	27	27	29	29	28	29	28	27	29	29	31	31	29	29	30	30	30	30	30	30	30	31	30	31	30	31	31	30	29	30	31	31	31	31	31	33	32	31	31	30	28	29	29	28	28	29	28	27	27	27	28	28	28	29	29	28	27	28	28	27	26	28	29	28	29	29	28	28	28	28	27	28	29	28	27	26	27	28	29	29	28	27	27	28	28	29	29	28	29	29	28	28	27	29	28	28	27	26	27	27	27	26	27	27	27	28	26	25	26	27	27	28	28	27	28	28	27	27	28	28	29	29	29	28	27	27	28	29	27	26	26	27	26	25	26	27	28	28	27	27	28	28	28	27	28	27	27	27	26	27	27	27	28	27	26	26	26	26	26	27	27	27	26	25	24	24	26	27	28	28	27	26	26	26	27	27	26	27	27	26	26	26	25	24	25	24	24	24
19:04:54		-1.6	34.1	30	410	17	33	43	46	43	42	47	51	54	54	53	54	55	55	55	56	56	55	55	55	57	57	55	56	58	57	55	57	58	55	52	53	54	54	55	54	49	46	49	50	49	48	46	44	44	43	42	42	42	42	43	43	41	41	40	40	40	40	40	40	40	39	39	40	39	41	41	40	41	41	39	41	41	40	38	39	40	39	38	38	38	39	39	40	40	39	39	40	40	39	36	38	37	37	34	35	36	35	36	36	35	37	37	34	34	35	36	36	37	38	38	38	37	38	37	37	38	38	39	39	41	41	41	41	42	44	45	45	45	44	44	45	47	47	48	48	49	50	50	49	50	49	48	46	45	43	39	39	37	35	35	35	35	35	37	35	36	34	33	34	35	35	34	33	34	35	37	38	39	37	36	35	35	35	32	32	33	30	30	31	31	30	31	31	31	31	30	30	30	31	31	28	30	29	29	30	31	32	32	32	35	34	31	30	31	30	28	29	30	27	26	27	28	26	26	28	30	28	26	26	28	28	27	27	26	27	28	27	28	27	29	30	30	29	28	29	29	29	29	28	30	30	30	29	28	28	28	27	29	30	30	29	29	30	30	31	32	32	32	32	31	30	30	29	28	28	28	27	27	27	29	29	28	28	29	28	26	27	29	28	28	26	28	28	27	27	27	28	28	28	29	28	27	28	29	27	28	28	27	27	27	27	27	27	28	27	27	28	29	28	27	26	26	27	29	29	27	26	27	27	27	27	27	26	27	27	27	27	27	27	28	26	28	28	27	27	27	27	27	27	28	28	27	28	28	28	27	26	26	27	28	27	28	26	27	26	26	25	27	29	27	26	26	25	26	25	26	27	27	27	26	26	27	28	28	28	27	26	25	27	27	28	27	27	26	25	25	25	27	28	26	26	26	25	27	27	25	25	26	24	24	26	25	26	25	25	26	27	25	24
19:04:55		-1.6	34.1	31	410	19	35	44	45	41	43	46	49	51	53	54	54	54	55	55	55	55	56	57	58	60	59	56	56	57	56	57	56	55	55	55	55	55	56	56	53	49	47	48	49	48	48	47	45	44	43	40	42	42	42	42	41	42	41	41	40	40	39	38	39	40	40	40	40	40	40	40	40	40	41	40	41	41	41	40	39	39	38	39	40	39	39	38	37	37	38	39	40	39	38	37	38	37	37	36	35	36	36	35	36	36	37	35	34	33	34	35	36	38	37	35	37	38	38	38	38	37	37	38	39	39	41	41	41	43	43	44	45	44	44	46	47	47	46	46	47	48	47	48	49	48	48	47	45	45	43	40	38	38	38	36	36	34	35	37	34	33	33	33	33	34	33	34	34	35	36	35	38	39	38	36	36	35	34	34	32	34	33	31	31	32	31	30	31	31	30	30	30	29	29	30	31	32	31	30	30	31	34	33	34	35	33	30	31	29	28	28	28	29	28	28	28	27	26	26	28	31	28	27	27	28	27	27	26	28	28	27	28	27	27	27	26	28	28	29	29	28	29	29	29	29	30	30	28	29	28	26	27	30	30	29	29	31	32	32	31	31	31	31	31	31	30	28	29	29	27	27	28	28	27	28	27	26	27	28	27	28	28	26	27	27	26	26	27	28	28	26	28	28	27	28	29	29	29	28	28	27	27	28	29	28	28	28	28	28	27	27	28	27	28	28	27	26	27	28	29	29	28	27	26	27	27	27	27	27	28	28	27	27	26	26	26	27	27	28	27	27	26	28	28	28	26	27	28	28	28	28	28	28	28	28	27	26	26	26	26	26	26	27	27	26	26	27	28	28	27	26	27	26	25	27	28	28	27	27	26	27	26	27	27	27	26	26	24	25	26	27	26	26	26	26	27	27	26	26	25	25	24	26	27	26	25	25	27	25	25	25	26	24	23
19:04:56		-1.6	34.0	32	410	18	35	43	44	42	44	46	50	52	53	52	52	55	57	56	56	56	56	57	57	59	60	59	58	59	56	56	56	56	55	54	55	55	54	53	52	49	47	51	52	50	47	45	45	44	42	42	43	43	42	42	43	42	40	39	39	38	39	40	40	41	41	41	41	41	40	39	40	41	41	41	41	40	40	41	41	40	39	38	38	39	40	39	38	38	39	39	38	39	38	37	37	37	37	37	36	35	36	35	35	36	36	34	33	35	35	34	36	37	37	37	36	37	38	37	38	38	38	38	39	40	40	41	40	41	42	43	46	46	44	45	45	45	45	46	48	48	48	49	50	49	49	47	45	44	42	40	39	39	38	35	34	35	36	37	35	34	34	33	34	34	33	33	32	36	37	36	38	39	37	36	35	33	33	33	33	33	33	31	30	30	29	30	31	32	31	32	30	30	30	31	31	31	31	31	31	32	32	32	33	36	34	32	30	30	30	29	28	28	27	27	28	27	27	27	28	29	27	27	27	27	27	26	27	27	27	26	28	28	28	28	28	30	28	28	27	28	27	27	28	29	28	28	28	28	29	30	30	30	30	31	30	31	32	32	31	31	32	31	30	30	29	29	29	30	28	27	27	26	27	27	28	27	26	27	26	28	28	28	28	28	28	27	28	28	27	27	27	28	29	29	27	27	27	28	28	28	28	27	29	29	29	27	26	27	27	27	28	28	26	25	26	28	28	27	27	26	26	27	27	26	28	29	27	26	27	27	27	28	27	27	28	27	28	27	26	26	27	28	30	28	28	27	27	27	27	26	25	26	27	26	26	26	28	27	26	26	27	27	27	26	27	27	27	26	26	26	26	27	27	27	27	25	25	25	25	25	25	26	26	25	26	25	25	27	25	25	26	26	25	25	26	27	26	26	25	25	26	27	26	24	24	26	26	26	25	26	25	25	25
19:04:57		-1.6	34.0	33	410	18	36	45	46	43	42	46	48	50	51	51	52	53	54	54	55	55	56	57	58	58	58	58	57	58	55	55	55	56	55	52	54	56	56	55	52	50	48	49	50	49	46	45	44	44	43	43	43	43	43	43	42	42	42	39	40	42	43	40	39	40	39	40	41	40	40	40	40	42	41	40	40	41	39	39	39	39	38	37	38	39	39	38	38	39	39	39	40	39	39	37	37	37	37	36	36	36	34	36	37	37	37	36	34	33	35	36	36	37	39	39	37	37	38	39	37	38	39	38	39	41	41	40	40	42	44	45	45	45	44	44	44	46	45	46	48	48	48	48	49	48	48	48	45	45	44	41	39	39	36	36	35	36	37	36	35	35	35	34	33	33	33	34	35	35	37	36	37	38	36	36	36	35	35	34	32	32	31	30	31	31	31	30	32	33	32	32	30	30	30	30	29	31	30	29	30	32	32	32	33	36	34	31	29	30	30	29	29	29	27	27	27	28	27	26	28	31	29	27	27	26	26	28	27	26	28	28	27	26	27	29	29	29	28	28	27	28	28	28	29	29	29	29	28	28	28	30	30	29	29	30	31	31	31	31	30	30	31	31	30	30	30	29	29	28	29	27	27	27	27	28	28	28	27	27	28	28	27	27	27	28	27	27	26	28	28	27	27	28	28	27	27	27	26	26	27	27	26	28	29	28	27	28	27	27	28	29	28	27	27	27	27	27	27	27	27	27	27	25	25	26	28	28	26	26	27	26	25	25	27	28	27	27	27	27	27	26	27	28	27	28	28	28	28	27	27	28	28	27	28	28	26	26	28	27	27	27	27	29	30	29	27	26	25	27	26	27	26	27	26	24	25	25	27	26	26	27	27	26	25	25	25	26	27	26	25	25	25	25	26	25	25	26	26	26	27	26	25	25	25	25	25	26	26	25	25	25	25	25	24
19:04:58		-1.6	34.0	34	410	19	35	42	43	41	41	44	47	49	51	52	53	54	54	54	56	55	56	56	58	58	57	57	57	56	56	57	57	56	54	53	55	56	55	53	51	48	47	49	50	50	49	46	44	43	41	42	44	42	41	41	43	42	41	40	39	40	41	41	41	42	41	40	40	39	39	39	39	41	42	41	40	39	39	40	40	38	38	39	39	38	37	38	38	39	37	38	40	40	39	38	38	38	38	35	36	36	37	37	36	36	36	35	35	34	33	34	36	37	36	37	38	38	38	38	38	38	37	39	39	41	41	41	42	41	42	44	45	45	45	44	46	48	47	46	46	48	49	49	49	50	49	47	46	46	44	40	39	40	38	36	35	34	36	37	35	35	34	33	34	34	33	34	34	34	35	36	37	39	38	36	35	34	33	33	33	34	32	31	31	32	30	30	31	32	31	30	29	29	29	30	31	33	31	30	31	33	34	33	33	35	34	31	31	32	29	29	28	29	28	27	27	28	29	28	27	29	28	28	28	27	27	26	27	28	27	28	27	27	28	29	28	29	29	28	28	29	30	29	28	30	29	28	30	30	29	29	29	29	29	30	29	28	31	31	32	31	31	31	30	30	30	29	29	29	27	27	27	28	29	29	28	28	29	28	27	28	29	27	27	27	28	28	27	28	27	26	27	27	26	28	29	29	29	28	27	28	28	28	27	28	28	28	28	29	29	29	29	29	29	28	28	28	29	28	28	27	29	28	29	29	28	28	29	28	27	26	28	28	29	29	29	30	29	28	27	29	28	27	28	28	28	28	27	27	27	27	28	29	29	30	30	30	28	28	27	27	29	29	29	28	28	28	28	28	26	26	27	27	28	28	27	27	28	27	27	29	29	28	27	29	30	30	29	29	28	29	29	27	27	26	25	26	26	26	25	27	26	27	28	29	29	29	30	29	28	27	26	26	25
19:04:59		-1.6	34.0	35	410	17	35	43	44	42	44	47	50	52	52	53	54	54	54	54	55	57	57	56	57	58	57	56	55	57	56	54	54	56	55	54	55	56	57	56	53	50	48	50	50	48	47	46	44	44	45	45	43	43	42	40	41	42	42	40	40	40	40	39	40	40	41	40	40	40	41	40	40	39	41	40	38	40	41	39	38	40	38	38	39	40	39	39	38	38	39	39	39	39	40	39	38	37	36	35	37	37	37	37	36	36	36	36	34	35	35	36	37	36	38	39	39	38	38	38	38	38	37	38	40	39	41	41	41	41	42	44	45	46	45	45	45	46	45	46	47	47	49	50	51	49	48	48	45	44	42	39	38	38	36	36	34	34	36	37	34	33	34	33	32	34	33	33	33	33	34	36	39	40	36	34	36	36	33	34	32	33	31	30	32	32	30	30	31	32	31	31	30	30	29	30	31	31	31	30	30	31	32	32	33	35	33	30	30	31	30	29	28	29	27	26	28	27	26	27	29	30	28	28	27	28	27	27	27	27	27	27	27	28	28	28	27	30	27	28	29	30	29	28	28	30	30	30	28	29	29	29	29	29	30	29	30	30	30	30	31	32	31	30	30	31	30	29	29	28	28	28	26	27	27	27	28	28	28	27	27	27	27	27	27	26	27	28	28	27	27	28	28	28	29	27	27	27	28	27	28	29	28	28	27	26	27	28	28	28	28	28	28	28	27	27	28	28	28	28	28	28	27	27	28	28	27	27	27	27	26	28	28	27	27	26	27	28	28	27	28	29	29	27	27	28	27	27	28	28	27	27	26	26	27	28	29	28	28	27	27	26	27	27	27	27	28	28	26	27	28	27	27	28	28	28	27	27	27	26	26	27	25	23	26	26	26	25	26	25	26	25	25	25	25	26	27	27	27	27	26	27	26	27	25	26	26	25	26	25	25	24	25	25	25
19:05:00		-1.6	34.0	36	410	19	35	42	43	42	43	45	48	51	53	53	54	54	55	55	56	57	57	56	58	58	57	55	56	59	58	54	55	55	53	53	56	55	55	55	52	49	47	49	49	48	47	45	45	44	43	44	43	42	42	42	43	43	42	40	39	40	41	40	39	38	38	37	40	40	39	38	39	41	41	41	40	42	41	40	40	39	39	39	38	38	37	39	39	38	38	39	39	39	39	38	37	38	38	36	38	38	37	37	36	37	36	35	34	33	34	34	36	37	37	38	38	38	38	38	37	38	38	38	38	40	40	40	41	43	41	43	45	45	43	45	46	45	46	46	48	48	48	49	49	49	48	47	45	44	43	40	39	38	37	37	36	36	37	37	34	33	33	33	32	33	32	32	35	36	37	37	37	38	36	35	35	35	34	32	33	35	33	31	30	31	30	31	31	31	31	30	29	30	31	30	31	33	31	31	30	30	32	34	35	36	34	32	30	30	29	28	27	28	27	28	29	29	28	28	28	30	29	28	28	27	26	27	28	27	27	28	29	28	26	28	29	32	31	29	29	29	28	28	30	30	31	29	30	30	28	28	29	29	29	29	27	28	30	31	31	31	32	31	31	30	30	30	29	27	28	29	29	27	27	27	27	29	28	29	29	29	29	29	28	28	28	28	28	27	26	26	27	27	27	27	28	29	29	28	28	28	27	29	29	28	27	27	28	29	29	28	28	27	26	26	28	29	28	29	28	28	30	30	29	28	28	28	26	26	26	27	28	27	27	28	28	29	28	27	28	29	28	28	28	28	28	27	25	27	26	25	28	29	27	27	27	25	26	27	26	27	27	26	27	27	26	28	27	28	27	27	27	28	28	27	29	28	29	28	27	26	27	27	26	26	27	28	27	27	28	28	28	27	27	26	26	27	27	26	25	26	26	26	27	27	27	26	27	27	27	27	25	25	26
19:05:01		-1.6	34.0	37	410	17	34	44	45	43	42	46	49	52	54	54	55	55	54	55	56	56	56	56	57	57	57	57	56	57	56	54	54	54	54	52	55	54	54	55	53	51	49	50	50	48	47	45	44	44	42	43	44	42	43	42	42	41	40	39	39	40	40	39	40	40	39	40	40	38	38	38	40	41	41	42	42	40	40	39	39	40	38	38	38	39	38	37	37	39	39	37	37	40	38	39	39	37	38	37	37	37	37	35	36	37	37	35	33	33	34	36	37	36	37	38	38	38	40	38	36	37	38	38	38	40	41	40	42	41	42	43	44	44	45	46	46	46	47	47	48	48	48	48	48	48	48	47	45	44	42	40	39	38	37	35	35	33	36	39	36	35	35	34	31	34	33	33	34	35	35	37	39	41	37	36	36	34	33	32	32	34	33	32	32	32	31	31	32	32	29	29	29	29	30	31	31	31	30	30	29	31	33	32	34	37	34	29	28	31	30	29	29	29	28	27	27	28	28	27	28	29	28	27	26	26	27	26	27	27	28	28	28	27	27	28	27	30	28	27	28	29	28	28	28	27	28	30	30	31	30	28	29	29	30	30	30	30	30	31	31	30	30	31	32	31	29	30	30	29	28	28	28	27	26	26	27	28	28	27	27	26	26	26	27	27	28	28	28	27	27	26	27	28	28	29	29	29	29	28	29	30	27	27	26	27	29	29	27	28	28	28	28	29	27	27	27	29	29	28	28	27	26	28	28	28	28	28	27	27	27	26	26	27	27	27	28	27	28	28	26	25	27	27	28	27	28	27	26	27	27	26	28	28	27	27	27	28	28	29	28	27	26	27	28	27	27	27	28	27	25	25	26	27	27	27	26	26	28	28	27	27	28	27	27	27	25	25	25	25	27	27	25	26	26	26	26	27	27	26	27	27	27	26	26	25	26	26	24	25	25	25	25	25	23
